"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"Substate","New York-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","51.1194","3.8591","2208","2493325","2024-2025, New York-Rest of State. Overall (6 months-17 years)","1","1","69","4","2","2690101","0","2024-2025"
"State","California","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","50.156","3.5526","2393","6944365","2024-2025, California. Overall (6 months-17 years)","1","1","16","3","2","2160101","0","2024-2025"
"Substate","Pennsylvania-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","4.0027","5.1237","70","1768206","2024-2025, Pennsylvania-Rest of State. Overall (6 months-17 years)","2","1","71","4","2","2710101","0","2024-2025"
"State","Kentucky","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","1.1842","1.7009","88","1274404","2024-2025, Kentucky. Overall (6 months-17 years)","2","1","30","3","2","2300101","0","2024-2025"
"Substate","Pennsylvania-Rest of State","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","8.4017","9.609","70","1768206","2024-2025, Pennsylvania-Rest of State. Overall (6 months-17 years)","3","1","71","4","2","2710101","0","2024-2025"
"State","Colorado","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","30.2076","15.5971","37","786832","2024-2025, Colorado. Overall (6 months-17 years)","4","1","17","3","2","2170101","0","2024-2025"
"Substate","Pennsylvania-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","50.725","3.4042","2565","1768206","2024-2025, Pennsylvania-Rest of State. Overall (6 months-17 years)","1","1","71","4","2","2710101","0","2024-2025"
"State","Kentucky","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","3.5603","4.5209","88","1274404","2024-2025, Kentucky. Overall (6 months-17 years)","3","1","30","3","2","2300101","0","2024-2025"
"Substate","Texas-Bexar County","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","52.8441","4.0506","2472","1657650","2024-2025, Texas-Bexar County. Overall (6 months-17 years)",,"1","72","4","2","2720101","0","2024-2025"
"State","Connecticut","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","29.3399","12.8741","75","548740","2024-2025, Connecticut. Overall (6 months-17 years)","4","1","18","3","2","2180101","0","2024-2025"
"Substate","Texas-City of Houston","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","21.5619","17.1867","33","1125712","2024-2025, Texas-City of Houston. Overall (6 months-17 years)","3","1","73","4","2","2730101","0","2024-2025"
"State","Louisiana","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","38.5277","3.5803","2327","1113304","2024-2025, Louisiana. Overall (6 months-17 years)","1","1","31","3","2","2310101","0","2024-2025"
"Substate","Texas-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","10.3424","13.8469","41","1381513","2024-2025, Texas-Rest of State. Overall (6 months-17 years)","2","1","74","4","2","2740101","0","2024-2025"
"State","Delaware","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","43.7077","20.8705","65","319531","2024-2025, Delaware. Overall (6 months-17 years)","4","1","19","3","2","2190101","0","2024-2025"
"Substate","Texas-Rest of State","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.7271","4.3888","41","1381513","2024-2025, Texas-Rest of State. Overall (6 months-17 years)","3","1","74","4","2","2740101","0","2024-2025"
"State","Maine","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.26","4.4531","44","567297","2024-2025, Maine. Overall (6 months-17 years)","2","1","32","3","2","2320101","0","2024-2025"
"State","Delaware","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","49.6573","4.2545","1751","319531","2024-2025, Delaware. Overall (6 months-17 years)",,"1","19","3","2","2190101","0","2024-2025"
"State","Maine","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","1.5906","2.2659","44","567297","2024-2025, Maine. Overall (6 months-17 years)","3","1","32","3","2","2320101","0","2024-2025"
"State","District of Columbia","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.1158","3.779","122","383588","2024-2025, District of Columbia. Overall (6 months-17 years)","3","1","20","3","2","2200101","0","2024-2025"
"State","Maryland","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.278","4.9392","100","988398","2024-2025, Maryland. Overall (6 months-17 years)","2","1","33","3","2","2330101","0","2024-2025"
"State","District of Columbia","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","68.5129","4.1455","3216","383588","2024-2025, District of Columbia. Overall (6 months-17 years)",,"1","20","3","2","2200101","0","2024-2025"
"State","Massachusetts","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.5618","5.0238","38","908097","2024-2025, Massachusetts. Overall (6 months-17 years)","2","1","34","3","2","2340101","0","2024-2025"
"State","Florida","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","10.6257","8.4031","80","3712089","2024-2025, Florida. Overall (6 months-17 years)","3","1","21","3","2","2210101","0","2024-2025"
"State","Massachusetts","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","11.1638","10.3262","38","908097","2024-2025, Massachusetts. Overall (6 months-17 years)","3","1","34","3","2","2340101","0","2024-2025"
"State","Florida","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","38.3891","3.4893","2106","3712089","2024-2025, Florida. Overall (6 months-17 years)",,"1","21","3","2","2210101","0","2024-2025"
"State","Michigan","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","6.051","6.1602","93","2100323","2024-2025, Michigan. Overall (6 months-17 years)","3","1","35","3","2","2350101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","50.4078","14.5998","87","468189","2024-2025, Idaho. Overall (6 months-17 years)","4","1","25","3","2","2250101","0","2024-2025"
"State","Minnesota","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","52.7638","4.3044","1986","1589894","2024-2025, Minnesota. Overall (6 months-17 years)","1","1","36","3","2","2360101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","38.6672","3.9064","1820","468189","2024-2025, Idaho. Overall (6 months-17 years)","1","1","25","3","2","2250101","0","2024-2025"
"State","Minnesota","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","52.7638","4.3044","1986","1589894","2024-2025, Minnesota. Overall (6 months-17 years)",,"1","36","3","2","2360101","0","2024-2025"
"State","Idaho","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","38.6672","3.9064","1820","468189","2024-2025, Idaho. Overall (6 months-17 years)",,"1","25","3","2","2250101","0","2024-2025"
"State","Mississippi","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","21.1904","15.0355","77","417118","2024-2025, Mississippi. Overall (6 months-17 years)","3","1","37","3","2","2370101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","4.2695","4.7505","116","3416757","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"State","Missouri","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.5389","4.4667","1549","1159091","2024-2025, Missouri. Overall (6 months-17 years)",,"1","38","3","2","2380101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","49.2103","2.8501","4195","3416757","2024-2025, Illinois. Overall (6 months-17 years)","1","1","26","3","2","2260101","0","2024-2025"
"State","Nebraska","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","7.7135","8.6745","45","692174","2024-2025, Nebraska. Overall (6 months-17 years)","3","1","40","3","2","2400101","0","2024-2025"
"State","Indiana","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.6145","18.7061","42","2376096","2024-2025, Indiana. Overall (6 months-17 years)","4","1","27","3","2","2270101","0","2024-2025"
"State","Nevada","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","39.1571","4.4873","1846","1004996","2024-2025, Nevada. Overall (6 months-17 years)",,"1","41","3","2","2410101","0","2024-2025"
"State","Indiana","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.6272","5.1774","42","2376096","2024-2025, Indiana. Overall (6 months-17 years)","3","1","27","3","2","2270101","0","2024-2025"
"State","New Jersey","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.6053","4.1062","66","2521967","2024-2025, New Jersey. Overall (6 months-17 years)","3","1","43","3","2","2430101","0","2024-2025"
"State","Iowa","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.3706","17.4871","64","1013245","2024-2025, Iowa. Overall (6 months-17 years)","4","1","28","3","2","2280101","0","2024-2025"
"State","New Jersey","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","58.9959","3.9426","2442","2521967","2024-2025, New Jersey. Overall (6 months-17 years)","1","1","43","3","2","2430101","0","2024-2025"
"State","Iowa","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","49.1085","4.2139","1728","1013245","2024-2025, Iowa. Overall (6 months-17 years)","1","1","28","3","2","2280101","0","2024-2025"
"State","New Mexico","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","9.4871","6.3287","128","1682921","2024-2025, New Mexico. Overall (6 months-17 years)","3","1","44","3","2","2440101","0","2024-2025"
"State","Iowa","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","49.1085","4.2139","1728","1013245","2024-2025, Iowa. Overall (6 months-17 years)",,"1","28","3","2","2280101","0","2024-2025"
"State","New Mexico","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.8666","3.9714","2094","1682921","2024-2025, New Mexico. Overall (6 months-17 years)",,"1","44","3","2","2440101","0","2024-2025"
"State","Kansas","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","7.3857","9.4899","37","272769","2024-2025, Kansas. Overall (6 months-17 years)","2","1","29","3","2","2290101","0","2024-2025"
"State","New York","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","6.896","10.2579","78","3214119","2024-2025, New York. Overall (6 months-17 years)","3","1","45","3","2","2450101","0","2024-2025"
"State","Kansas","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","0.6302","1.2818","37","272769","2024-2025, Kansas. Overall (6 months-17 years)","3","1","29","3","2","2290101","0","2024-2025"
"State","North Carolina","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","45.8027","19.4262","44","2363607","2024-2025, North Carolina. Overall (6 months-17 years)","4","1","46","3","2","2460101","0","2024-2025"
"State","Maine","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","45.1588","18.1145","44","567297","2024-2025, Maine. Overall (6 months-17 years)","4","1","32","3","2","2320101","0","2024-2025"
"State","North Dakota","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","42.7289","4.1347","1861","124908","2024-2025, North Dakota. Overall (6 months-17 years)","1","1","47","3","2","2470101","0","2024-2025"
"State","Massachusetts","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","19.2371","12.9404","38","908097","2024-2025, Massachusetts. Overall (6 months-17 years)","4","1","34","3","2","2340101","0","2024-2025"
"State","Ohio","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.5683","11.5132","34","751400","2024-2025, Ohio. Overall (6 months-17 years)","4","1","48","3","2","2480101","0","2024-2025"
"State","Michigan","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","49.1344","11.8677","93","2100323","2024-2025, Michigan. Overall (6 months-17 years)","4","1","35","3","2","2350101","0","2024-2025"
"State","Ohio","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.3846","6.7414","34","751400","2024-2025, Ohio. Overall (6 months-17 years)","3","1","48","3","2","2480101","0","2024-2025"
"State","Michigan","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","44.5679","4.2707","1716","2100323","2024-2025, Michigan. Overall (6 months-17 years)",,"1","35","3","2","2350101","0","2024-2025"
"State","Oklahoma","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","58.2375","13.6616","104","2125047","2024-2025, Oklahoma. Overall (6 months-17 years)","4","1","49","3","2","2490101","0","2024-2025"
"State","Minnesota","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","11.0053","14.6915","33","1589894","2024-2025, Minnesota. Overall (6 months-17 years)","3","1","36","3","2","2360101","0","2024-2025"
"State","Oklahoma","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","3.5098","4.5651","104","2125047","2024-2025, Oklahoma. Overall (6 months-17 years)","3","1","49","3","2","2490101","0","2024-2025"
"State","Mississippi","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","47.662","16.7568","77","417118","2024-2025, Mississippi. Overall (6 months-17 years)","4","1","37","3","2","2370101","0","2024-2025"
"State","Oregon","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","1.3737","2.6505","60","901716","2024-2025, Oregon. Overall (6 months-17 years)","2","1","50","3","2","2500101","0","2024-2025"
"State","Mississippi","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.1905","3.3248","77","417118","2024-2025, Mississippi. Overall (6 months-17 years)","2","1","37","3","2","2370101","0","2024-2025"
"State","Oregon","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","45.678","3.6556","2004","901716","2024-2025, Oregon. Overall (6 months-17 years)","1","1","50","3","2","2500101","0","2024-2025"
"State","Missouri","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","46.7173","15.9636","67","1159091","2024-2025, Missouri. Overall (6 months-17 years)","4","1","38","3","2","2380101","0","2024-2025"
"State","Puerto Rico","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","25.5091","16.7994","53","484668","2024-2025, Puerto Rico. Overall (6 months-17 years)","4","1","52","3","2","2520101","0","2024-2025"
"State","Mississippi","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","28.9571","3.3832","2080","417118","2024-2025, Mississippi. Overall (6 months-17 years)",,"1","37","3","2","2370101","0","2024-2025"
"State","Puerto Rico","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","22.1275","2.0469","3235","484668","2024-2025, Puerto Rico. Overall (6 months-17 years)","1","1","52","3","2","2520101","0","2024-2025"
"State","Missouri","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","0","0","67","1159091","2024-2025, Missouri. Overall (6 months-17 years)","2","1","38","3","2","2380101","0","2024-2025"
"State","South Carolina","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","0","0","53","1640207","2024-2025, South Carolina. Overall (6 months-17 years)","2","1","54","3","2","2540101","0","2024-2025"
"State","Missouri","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.7438","7.8765","67","1159091","2024-2025, Missouri. Overall (6 months-17 years)","3","1","38","3","2","2380101","0","2024-2025"
"State","South Carolina","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","12.9451","10.239","53","1640207","2024-2025, South Carolina. Overall (6 months-17 years)","3","1","54","3","2","2540101","0","2024-2025"
"State","Montana","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","6.0124","5.9346","102","595002","2024-2025, Montana. Overall (6 months-17 years)","3","1","39","3","2","2390101","0","2024-2025"
"State","South Carolina","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","40.4855","3.691","2444","1640207","2024-2025, South Carolina. Overall (6 months-17 years)","1","1","54","3","2","2540101","0","2024-2025"
"State","Nebraska","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","39.128","16.8229","45","692174","2024-2025, Nebraska. Overall (6 months-17 years)","4","1","40","3","2","2400101","0","2024-2025"
"State","South Dakota","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","48.0701","4.2221","2076","104548","2024-2025, South Dakota. Overall (6 months-17 years)",,"1","55","3","2","2550101","0","2024-2025"
"State","Nebraska","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","52.9377","4.6021","1535","692174","2024-2025, Nebraska. Overall (6 months-17 years)","1","1","40","3","2","2400101","0","2024-2025"
"State","Texas","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","34.4987","10.2129","132","4164875","2024-2025, Texas. Overall (6 months-17 years)","4","1","57","3","2","2570101","0","2024-2025"
"State","Nebraska","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","52.9377","4.6021","1535","692174","2024-2025, Nebraska. Overall (6 months-17 years)",,"1","40","3","2","2400101","0","2024-2025"
"State","Vermont","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","0.7793","1.5783","42","155691","2024-2025, Vermont. Overall (6 months-17 years)","2","1","60","3","2","2600101","0","2024-2025"
"State","Nevada","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","9.2518","9.2229","116","1004996","2024-2025, Nevada. Overall (6 months-17 years)","3","1","41","3","2","2410101","0","2024-2025"
"State","Vermont","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","3.7955","6.586","42","155691","2024-2025, Vermont. Overall (6 months-17 years)","3","1","60","3","2","2600101","0","2024-2025"
"State","Nevada","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","39.1571","4.4873","1846","1004996","2024-2025, Nevada. Overall (6 months-17 years)","1","1","41","3","2","2410101","0","2024-2025"
"State","U.S. Virgin Islands","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","23.4981","17.7347","30","16364","2024-2025, Virgin Islands. Overall (6 months-17 years)","3","1","58","3","2","2580101","0","2024-2025"
"State","New Hampshire","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","38.7335","10.7033","67","444257","2024-2025, New Hampshire. Overall (6 months-17 years)","4","1","42","3","2","2420101","0","2024-2025"
"State","Virginia","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","3.247","4.6288","67","1811135","2024-2025, Virginia. Overall (6 months-17 years)","2","1","61","3","2","2610101","0","2024-2025"
"State","New Hampshire","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.8411","5.4572","67","444257","2024-2025, New Hampshire. Overall (6 months-17 years)","3","1","42","3","2","2420101","0","2024-2025"
"State","Washington","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","51.1399","4.7388","1484","1580035","2024-2025, Washington. Overall (6 months-17 years)",,"1","62","3","2","2620101","0","2024-2025"
"State","New Hampshire","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","51.7598","4.2896","1974","444257","2024-2025, New Hampshire. Overall (6 months-17 years)","1","1","42","3","2","2420101","0","2024-2025"
"State","West Virginia","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","50.5683","14.1203","77","598458","2024-2025, West Virginia. Overall (6 months-17 years)","4","1","63","3","2","2630101","0","2024-2025"
"State","New Hampshire","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","51.7598","4.2896","1974","444257","2024-2025, New Hampshire. Overall (6 months-17 years)",,"1","42","3","2","2420101","0","2024-2025"
"State","West Virginia","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","2.3587","2.8692","77","598458","2024-2025, West Virginia. Overall (6 months-17 years)","2","1","63","3","2","2630101","0","2024-2025"
"State","New Jersey","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","29.0165","18.8983","66","2521967","2024-2025, New Jersey. Overall (6 months-17 years)","4","1","43","3","2","2430101","0","2024-2025"
"State","West Virginia","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","40.737","3.8092","2295","598458","2024-2025, West Virginia. Overall (6 months-17 years)",,"1","63","3","2","2630101","0","2024-2025"
"State","New Jersey","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","9.3823","12.1233","66","2521967","2024-2025, New Jersey. Overall (6 months-17 years)","2","1","43","3","2","2430101","0","2024-2025"
"State","Wisconsin","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","0","0","39","768510","2024-2025, Wisconsin. Overall (6 months-17 years)","2","1","64","3","2","2640101","0","2024-2025"
"State","New Mexico","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","36.6396","9.9797","128","1682921","2024-2025, New Mexico. Overall (6 months-17 years)","4","1","44","3","2","2440101","0","2024-2025"
"State","Wisconsin","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","48.4852","4.9418","1533","768510","2024-2025, Wisconsin. Overall (6 months-17 years)","1","1","64","3","2","2640101","0","2024-2025"
"State","New York","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","5.5928","8.6376","78","3214119","2024-2025, New York. Overall (6 months-17 years)","2","1","45","3","2","2450101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","60.2052","12.1697","108","166076","2024-2025, Wyoming. Overall (6 months-17 years)","4","1","65","3","2","2650101","0","2024-2025"
"State","New York","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","56.3705","3.4246","3700","3214119","2024-2025, New York. Overall (6 months-17 years)","1","1","45","3","2","2450101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","1.096","2.1381","108","166076","2024-2025, Wyoming. Overall (6 months-17 years)","2","1","65","3","2","2650101","0","2024-2025"
"State","New York","Overall","Overall","Up-to-date","Yes","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07","56.3705","3.4246","3700","3214119","2024-2025, New York. Overall (6 months-17 years)",,"1","45","3","2","2450101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Received a vaccination","March Week 2","2025 Mar 08 12:00:00 AM","2026-03-07",,,"1235","504793","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","1","1","66","4","2","2660101","1","2024-2025"
